tpep_pickup_datetime,tpep_dropoff_datetime,trip_distance,fare_amount,pickup_zip,dropoff_zip
2016-02-13T21:47:53.000Z,2016-02-13T21:57:15.000Z,1.4,8,10103,10110
2016-02-13T18:29:09.000Z,2016-02-13T18:37:23.000Z,1.31,7.5,10023,10023
2016-02-06T19:40:58.000Z,2016-02-06T19:52:32.000Z,1.8,9.5,10001,10018
2016-02-12T19:06:43.000Z,2016-02-12T19:20:54.000Z,2.3,11.5,10044,10111
2016-02-23T10:27:56.000Z,2016-02-23T10:58:33.000Z,2.6,18.5,10199,10022
2016-02-13T00:41:43.000Z,2016-02-13T00:46:52.000Z,1.4,6.5,10023,10069
2016-02-18T23:49:53.000Z,2016-02-19T00:12:53.000Z,10.4,31,11371,10003
2016-02-18T20:21:45.000Z,2016-02-18T20:38:23.000Z,10.15,28.5,11371,11201
2016-02-03T10:47:50.000Z,2016-02-03T11:07:06.000Z,3.27,15,10014,10023
2016-02-19T01:26:39.000Z,2016-02-19T01:40:01.000Z,4.42,15,10003,11222
2016-02-12T00:19:38.000Z,2016-02-12T00:34:59.000Z,3.5,13.5,10012,10018
2016-02-18T07:32:18.000Z,2016-02-18T07:37:16.000Z,1.1,6,10009,10110
2016-02-24T13:58:21.000Z,2016-02-24T14:13:02.000Z,1.1,10,10119,10017
2016-02-29T11:36:24.000Z,2016-02-29T11:47:16.000Z,0.93,8,10065,10167
2016-02-12T15:55:09.000Z,2016-02-12T16:05:16.000Z,1.63,9,10021,10023
2016-02-11T18:39:25.000Z,2016-02-11T18:44:26.000Z,0.71,5.5,10021,10065
2016-02-20T22:09:04.000Z,2016-02-20T22:22:43.000Z,2,10.5,10001,10003
2016-02-26T16:31:44.000Z,2016-02-26T16:46:00.000Z,1.1,10,10153,10110
2016-02-26T09:24:38.000Z,2016-02-26T09:33:49.000Z,1.3,8.5,10025,10029
2016-02-08T23:16:27.000Z,2016-02-08T23:32:43.000Z,3.4,14,10018,10028
2016-02-06T23:25:43.000Z,2016-02-06T23:31:08.000Z,1.1,6,11237,11237
2016-02-27T18:01:07.000Z,2016-02-27T18:10:23.000Z,2.83,11,10002,11206
2016-02-16T12:14:48.000Z,2016-02-16T12:19:14.000Z,0.6,5,10044,10021
2016-02-10T08:54:25.000Z,2016-02-10T09:17:43.000Z,3.5,17.5,10013,10018
2016-02-17T15:54:42.000Z,2016-02-17T16:04:41.000Z,0.9,7.5,10021,10021
2016-02-19T11:09:05.000Z,2016-02-19T11:25:12.000Z,4,15.5,10022,10002
2016-02-12T22:41:45.000Z,2016-02-12T22:52:11.000Z,0.9,8,10171,10017
2016-02-26T23:12:44.000Z,2016-02-26T23:22:22.000Z,1.7,8.5,10016,10009
2016-02-24T23:21:05.000Z,2016-02-24T23:31:41.000Z,2.2,9.5,10103,10044
2016-02-03T05:16:34.000Z,2016-02-03T05:35:48.000Z,15.7,52,10009,11422
2016-02-18T18:29:19.000Z,2016-02-18T18:37:43.000Z,1.1,7.5,10011,10011
2016-02-26T02:15:57.000Z,2016-02-26T02:19:33.000Z,1.03,5,10171,10065
2016-02-28T15:16:44.000Z,2016-02-28T15:35:32.000Z,4.5,16.5,10282,10069
2016-02-02T17:11:50.000Z,2016-02-02T17:26:47.000Z,1.49,10.5,10018,10001
2016-02-02T22:35:45.000Z,2016-02-02T22:42:03.000Z,1.35,6.5,10023,10021
2016-02-18T10:14:15.000Z,2016-02-18T10:21:53.000Z,1.28,7.5,10110,10003
2016-02-14T16:23:31.000Z,2016-02-14T16:37:15.000Z,2.38,11.5,10012,10110
2016-02-15T01:45:11.000Z,2016-02-15T01:48:40.000Z,0.6,4.5,10153,10065
2016-02-14T17:44:16.000Z,2016-02-14T17:47:42.000Z,0.59,4.5,10023,10023
2016-02-04T00:22:49.000Z,2016-02-04T00:38:19.000Z,4.1,15,10019,11104
2016-02-19T07:47:10.000Z,2016-02-19T07:57:32.000Z,1.06,8,10017,10171
2016-02-04T20:37:53.000Z,2016-02-04T20:45:54.000Z,1.58,7.5,10154,10044
2016-02-08T21:33:29.000Z,2016-02-08T21:36:41.000Z,0.61,4.5,10110,10110
2016-02-20T19:28:12.000Z,2016-02-20T20:08:33.000Z,19.6,54.5,11422,11238
2016-02-21T08:58:53.000Z,2016-02-21T09:02:28.000Z,0.7,4.5,10025,10162
2016-02-19T06:07:22.000Z,2016-02-19T06:21:17.000Z,3.7,13.5,10005,10110
2016-02-04T12:38:32.000Z,2016-02-04T12:52:10.000Z,1.2,10,10199,10011
2016-02-24T19:22:35.000Z,2016-02-24T19:47:34.000Z,3.7,17.5,10028,10003
2016-02-10T23:32:23.000Z,2016-02-10T23:51:48.000Z,5.84,19,10002,10023
2016-02-26T23:32:21.000Z,2016-02-26T23:44:11.000Z,1.83,10,10002,10014
2016-02-26T11:26:02.000Z,2016-02-26T12:11:00.000Z,11.3,40,10001,11371
2016-02-04T11:19:49.000Z,2016-02-04T11:26:48.000Z,0.83,6,10022,10065
2016-02-24T02:43:55.000Z,2016-02-24T02:56:32.000Z,6.4,19.5,10002,10029
2016-02-25T09:08:28.000Z,2016-02-25T09:39:37.000Z,3.14,19.5,10007,10020
2016-02-23T06:56:26.000Z,2016-02-23T07:00:30.000Z,0.8,5,10014,10199
2016-02-04T20:04:14.000Z,2016-02-04T20:20:34.000Z,2.44,12.5,10154,10069
2016-02-11T08:13:16.000Z,2016-02-11T08:18:27.000Z,0.7,5.5,10003,10012
2016-02-15T08:51:02.000Z,2016-02-15T09:06:27.000Z,5.5,17,11371,11379
2016-02-28T12:44:47.000Z,2016-02-28T12:53:11.000Z,1.6,8,10001,10012
2016-02-02T18:48:41.000Z,2016-02-02T18:54:10.000Z,0.8,5.5,10009,10002
2016-02-06T10:20:59.000Z,2016-02-06T10:27:31.000Z,2.1,8.5,10012,10282
2016-02-03T08:52:58.000Z,2016-02-03T09:02:28.000Z,1.22,8,10003,10011
2016-02-29T11:26:39.000Z,2016-02-29T11:31:11.000Z,0.6,5,10023,10069
2016-02-09T19:47:42.000Z,2016-02-09T19:52:56.000Z,1.6,7,10018,10069
2016-02-14T19:32:02.000Z,2016-02-14T19:43:28.000Z,0.6,8.5,10017,10001
2016-02-23T21:35:43.000Z,2016-02-23T21:41:15.000Z,1.04,6,10001,10167
2016-02-03T19:15:04.000Z,2016-02-03T19:40:34.000Z,4.7,20,10280,10119
2016-02-26T19:26:48.000Z,2016-02-26T19:40:52.000Z,2.95,12,10001,10021
2016-02-21T04:40:46.000Z,2016-02-21T04:51:49.000Z,3.06,12,10012,10022
2016-02-20T19:38:37.000Z,2016-02-20T20:21:57.000Z,7.3,33,11205,10028
